-1,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
582,Principal Statistician,-1,"Provide statistical input to the design, analysis, reporting and interpretation of clinical studies. MSc (or equivalent) in statistics or related field.…
Skills: Statistics, Machine learning, Clinical trials, Communication skills, Time management",3.9,GSK,"Collegeville, PA",10000+ Employees,1830,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
583,Data Scientist,$104K - $137K (Glassdoor est.),"Ph.D. in Data Science, Computational Biology, Biomedical Engineering, or related scientific field or equivalent experience in technical analysis.…
Skills: Writing skills, Analysis skills, Data science, AI, Leadership",4.4,MIT Lincoln Laboratory,"Lexington, MA",1001 to 5000 Employees,1951,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
584,Principal Data Scientist,$200K - $240K (Employer est.),"You will play a critical role in developing and implementing data-driven strategies, optimizing statistical methods, and driving innovation within the company.…
Skills: Big data, Data analysis skills, Google Cloud Platform, SQL, AWS",2.8,VideoAmp Careers Website,Remote,201 to 500 Employees,2014,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable
585,Staff Data Scientist,$190K - $238K (Glassdoor est.),"Use state-of-the-art time series and forecasting techniques to integrate micro and aggregate data, developing reliable forecasting models that adequately convey……
Skills: R, SQL, Machine learning, Regression analysis, Communication skills",4.4,Intuit,"Mountain View, CA",10000+ Employees,1983,Company - Public,Software Development,Information Technology,$10+ billion (USD)
586,Sr. Data Scientist,-1,"Experience in both research-based and production-level environments. Develop and deploy LLMs for diverse content generation tasks.…
Skills: Software troubleshooting, Research, Machine learning, Deep learning, Natural language processing",4.3,PUTNAM RECRUITING GROUP,Remote,Unknown,--,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,Unknown / Non-Applicable
587,Data Scientist Lead,$159K - $304K (Employer est.),"8 years of experience in a predictive analytics or data analysis OR Advanced Degree (e.g., Master’s, PhD) in mathematics, computer science, statistics,……
Skills: Statistics, Management, XML, R, Data analysis skills",3.4,USAA,"San Antonio, TX",10000+ Employees,1922,Company - Private,Insurance Carriers,Insurance,$25 to $100 million (USD)
588,Senior Applied Scientist,$112K - $239K (Employer est.),"They will play a key role in driving algorithmic improvements to online and offline systems, developing and delivering robust and scalable solutions, making……
Skills: Statistics, Data mining, Research, Machine learning, Predictive analytics",4.2,Microsoft,"Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
589,Staff Applied Scientist,-1,"You will thrive in this role if you love to work on applied, open-ended problems in research and production environments: thorough error analysis, deep……
Skills: Operations research, English, SQL, Analysis skills, Machine learning",3.9,Afresh,Remote,51 to 200 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
590,Senior Data Scientist,$185K - $235K (Employer est.),"BS/MS in Data Science or a related quantitative or scientific field. Cross-functional Collaboration: Collaborate with technical teams, product managers, and……
Skills: Statistics, SQL, Machine learning, NIST standards, Data science",3,ID.me,"McLean, VA",501 to 1000 Employees,2010,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
591,Director Data Science,$314K - $361K (Employer est.),"Proven experience influencing strategy and driving change across org boundaries through clear and compelling communication of data-driven insights and analyses.…
Skills: Machine learning, Analytics",4,Meta,"Burlingame, CA",10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
592,Sr. Data Scientist,$79K - $118K (Glassdoor est.),"Bachelor’s Degree in Computer Science, Business Analytics, or a field closely related with 3 years’ experience in the position of Data Analyst or Engineer with……
Skills: Cloud infrastructure, Data analysis skills, NoSQL, Windows, Java",3.3,Finch Computing,"Beavercreek, OH",1 to 50 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
593,Privacy & Data Policy Manager,$123K - $186K (Employer est.),"Bachelor's degree in political science, policy, law, social science or related field. 3+ years of experience working in privacy (specifically sensitive data) or……
Skills: Machine learning, Communication skills",4,Meta,"Washington, DC",10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
594,Staff Data Scientist,$140K - $268K (Employer est.),"10+ years of work experience in data science or another related field. Communicate effectively and manage relationships with partners coming from both technical……
Skills: Statistics, Web analytics, Big data, Spark, R",4.2,Adobe,"San Jose, CA",10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
595,"Principal Data Scientist, Proteomics",$20K - $203K (Employer est.),"Invent and develop data analysis strategies, write algorithms, and broadly support the analysis of proteomics data, in particular data from large patient……
Skills: CI/CD, MATLAB, R, Physiology knowledge, Data analysis skills",4.2,CALICO,"South San Francisco, CA",201 to 500 Employees,2013,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
596,Senior Data Scientist,$121K - $169K (Glassdoor est.),"Master’s or doctoral degree in mathematics or computer science with a focus on a related field including modelling and simulations, statistics, machine learning……
Skills: Research, Machine learning, Forecasting, Manufacturing, AI",3.9,BASF Corporation,"Charlotte, NC",10000+ Employees,1865,Company - Public,Chemical Manufacturing,Manufacturing,$5 to $10 billion (USD)
597,Senior Data Scientist,$115K - $184K (Employer est.),"Reporting to the Director of Applied AI and working with the Mastercard Applied AI Technology team, the Senior Applied Data Scientist will drive enterprise……
Skills: Big data, Spark, Google Cloud Platform, Tableau, Information security",4.2,Mastercard,"O Fallon, MO",10000+ Employees,1966,Company - Public,Financial Transaction Processing,Financial Services,Unknown / Non-Applicable
598,Senior Applied Scientist,$200K - $290K (Employer est.),"MS or PhD in Statistics, Mathematics, Computer Science or related field. Running regular benchmarking tests and perform statistical analysis, draw conclusions……
Skills: TensorFlow, Computer science, C#, Java, C++",4,UiPath,"Bellevue, WA",1001 to 5000 Employees,2005,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
599,Senior Applied Scientist,$117K - $229K (Employer est.),"Conduct applied science experiments, create and validate metrics, develop ML pipeline and modeling algorithm in the area of Large Language Models, Natural……
Skills: TensorFlow, Statistics, Azure, Research, Application development",4.2,Microsoft,"Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
600,Sr Data Scientist,$187K - $203K (Employer est.),"Requires Master’s Degree in Computer Science, Data Science, Electrical Engineering, or closely related and 1 year of experience in the job offered or in machine……
Skills: SQL, AWS, Machine learning, AI, Python",3.4,Fanatics Inc.,"San Mateo, CA",10000+ Employees,1996,Company - Private,Internet & Web Services,Information Technology,$1 to $5 billion (USD)
601,Principal Data Scientist,$145K - $180K (Employer est.),"Reporting to the Director of Data Science for Consumer Asset Management Analytics and Strategy, this position will focus on collaborating with data solution and……
Skills: Oracle, Management, SAS, SQL, Analysis skills",3.8,Ally Financial,"Lewisville, TX",10000+ Employees,1919,Company - Public,Banking & Lending,Financial Services,$5 to $10 billion (USD)
602,Lead Data Scientist,$110K - $153K (Glassdoor est.),"REQS: This position requires a master’s degree (or equivalent foreign degree) in Aerospace Engineering, Statistics, Data Science, Management Science, Computer……
Skills: Power BI, NoSQL, Tableau, Machine learning, Python",4.1,Caterpillar,"Peoria, IL",10000+ Employees,1925,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD)
603,Senior Data Scientist,$160K - $165K (Employer est.),"You should be comfortable using your expertise to recommend and execute appropriate analytical/statistical approaches to answering a range of business questions……
Skills: Computer science, Azure, Data mining, R, Data analysis skills",2.8,"Ontrak, Inc.",Remote,51 to 200 Employees,2008,Company - Public,Health Care Services & Hospitals,Healthcare,$25 to $100 million (USD)
604,Data Scientist/Analyst Support III,-1,"Seven (7) years of combined experience that includes DoD readiness analysis and/or military service at the tactical, operational, and strategic levels;……
Skills: Military, Data analysis skills, DoD experience, Analysis skills",3.6,Solutions Through Innovative Technologies Inc,"Washington, DC",51 to 200 Employees,2000,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
605,Staff Data Scientist,$175K - $242K (Employer est.),"As a Data Scientist, you'll leverage technical and business acumen to become an expert in our models and how the models interact with the business.…
Skills: R, SQL, Machine learning, Regression analysis, Predictive analytics",3.5,Upstart,"San Mateo, CA",1001 to 5000 Employees,2012,Company - Public,Banking & Lending,Financial Services,Unknown / Non-Applicable
606,Principal Data Scientist,$192K - $242K (Glassdoor est.),"Strong interpersonal and communication skills in order to effectively contribute to technical teams and make presentations to a variety of technical and……
Skills: Statistics, Computer science, Management, Data structures, R",4.4,Intuit,"Mountain View, CA",10000+ Employees,1983,Company - Public,Software Development,Information Technology,$10+ billion (USD)
607,Sr. Data Analyst,$61K - $93K (Glassdoor est.),"Provides technical expertise and leads activities related to data architecture for reporting services, and design expertise in data warehouses, data marts, and……
Skills: Data mining, Microsoft SQL Server, SSRS, Tableau, Analysis skills",3.9,Synovus,"Columbus, GA",5001 to 10000 Employees,1888,Company - Public,Banking & Lending,Financial Services,$1 to $5 billion (USD)
608,"Manager, Data Science",$154K - $220K (Employer est.),"The ideal candidate will have experience with growing and managing a data science team within a product company with capability of bringing clear understanding……
Skills: Growing experience, MATLAB, Data mining, Big data, R",3.4,ServiceTitan,Remote,1001 to 5000 Employees,2013,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable
609,Director of Data Architecture,$156K - $260K (Employer est.),"Spearhead the strategic development and continuous refinement of data architecture frameworks, leading the design and implementation efforts to ensure robust,……
Skills: Data modeling, Azure, System design, Analysis skills, Machine learning",3.8,McKesson,"Irving, TX",10000+ Employees,1833,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
610,"Applied Scientist, Forecasting, Capacity Planning, Customer Service",$136K - $222K (Employer est.),"Collaborate with product, software engineering, research science, data engineering, and business leaders to build algorithms and models. Paid Time Off (PTO).…
Skills: Statistics, Microsoft Excel, Data mining, Research, Java",3.7,Amazon.com Services LLC,"Seattle, WA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
611,"Data Scientist, Signal Processing and Machine Learning",$119K - $169K (Employer est.),"You will work closely with cross-functional teams (hardware, software, clinical science, quality and regulatory) to plan and execute clinical studies for……
Skills: TensorFlow, Signal processing, Data analysis skills, SQL, Machine learning",3.2,Verily,"San Bruno, CA",1001 to 5000 Employees,2015,Subsidiary or Business Segment,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
612,Machine Learning Scientist,$152K - $214K (Glassdoor est.),"Design and implement the next state-of-the-art generative models of antibody sequence and structure, and predictive models of antibody properties, trained on……
Skills: Machine learning, Communication skills, Python",4.3,BigHat Biosciences,"San Mateo, CA",1 to 50 Employees,2019,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
613,"Staff Data Scientist, Dashboard Analytics",$146K - $215K (Employer est.),"Across it all, we’ve embedded financial services tools at the point of sale, so merchants can access a business loan and manage their cash flow in one place.…
Skills: SQL, Product development, Machine learning, Data science, Leadership",3.8,Afterpay,"San Francisco, CA",1001 to 5000 Employees,2014,Company - Public,Internet & Web Services,Information Technology,$5 to $25 million (USD)
614,"Senior Data Analyst, Insights and Marketing Analytics",$112K - $154K (Employer est.),"This global team is responsible for the insights that fuel Criteo-created content; the creation, execution, and analysis of customer, shopper, and marketer……
Skills: Microsoft Excel, Relational databases, R, Data analysis skills, English",4.1,Criteo,"New York, NY",1001 to 5000 Employees,2005,Company - Public,Internet & Web Services,Information Technology,$1 to $5 billion (USD)
615,Product Manager - Infrastructure AI,$202K - $277K (Employer est.),"Work closely with cross-functional teams to drive product vision, define product requirements, coordinate resources from other groups (design, legal, etc.),……
Skills: Computer science, Writing skills, Presentation skills, Machine learning, Product management",4,Meta,"Menlo Park, CA",10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
616,Computational Biology Data Scientist,$102K - $129K (Employer est.),"Collaborate with clinical and lab-based investigators on campus including the Heart Center, the Department of Medicine, the Department of Neurosurgery, and the……
Skills: Writing skills, R, Analysis skills, Supervising experience, Mentoring",4.3,Stanford University,"Stanford, CA",10000+ Employees,1891,College / University,Colleges & Universities,Education,$10+ billion (USD)
617,Data Scientist,$90K - $188K (Employer est.),"You will also provide technical direction and research capabilities to the team that owns the design, implementation, testing, deployment, and operation of the……
Skills: Jira, Lucene, Elasticsearch, Management, Kubernetes",4,CACI,United States,10000+ Employees,1962,Company - Public,Aerospace & Defense,Aerospace & Defense,$5 to $10 billion (USD)
618,Senior Software Engineer - Deep Learning,$148K - $276K (Employer est.),"Maxine provides state-of-the-art AI models for deploying video/audio enhancement and augmented reality features.…
Skills: TensorFlow, Computer science, Computer vision, Research, Analysis skills",4.6,NVIDIA,"Santa Clara, CA",10000+ Employees,1993,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD)
619,Senior Data Scientist-Engineering Focused,$115K - $221K (Employer est.),"Bachelor of Science in Computer Science, Engineering, or Mathematics or similar field. Anomaly detection and model/data drift analysis affecting production ML……
Skills: TensorFlow, Computer science, Kubernetes, Spark, R",4.2,Mastercard,"O Fallon, MO",10000+ Employees,1966,Company - Public,Financial Transaction Processing,Financial Services,Unknown / Non-Applicable
620,Data Scientist - TS/SCI,$110K - $169K (Glassdoor est.),"10 years of experience employing data science techniques and processes to clean, massage and organize large, complex data sets; performing descriptive……
Skills: Statistics, MATLAB, R, Tableau, Machine learning",4.4,AMERICAN SYSTEMS,"Chantilly, VA",1001 to 5000 Employees,1975,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
621,Lead ML Engineer - Feature Store and Integration,$152K - $209K (Employer est.),"Expertise in Python programming language, specifically for ML data processing, feature engineering, and deployment within a feature store environment, along……
Skills: Big data, Software deployment, Spark, Git, Analysis skills",4.1,Salesforce,"Bellevue, WA",10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
622,Data Center Energy Program Manager,$126K - $179K (Employer est.),"Build and maintain relationships with internal partners including site selection, strategic engineering, data center design, construction, facility operations,……
Skills: Microsoft Powerpoint, Data center experience, Program management, Microsoft Excel, Management",4,Meta,"Fremont, CA",10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
623,AI Machine Learning Scientist,$108K - $156K (Glassdoor est.),"Work with stakeholders and design teams to assist with data-related technical issues and support their infrastructure needs. Mentor and collaborate with peers.…
Skills: Big data, SQL, Machine learning, Distributed systems, IT",3.5,Elevance Health,"Chicago, IL",10000+ Employees,2004,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
624,Applied AIML Data Scientist Lead - Vice President,$147K - $260K (Employer est.),"Advanced degree (MS, PhD) in a quantitative field (e.g., Data Science, Computer Science, Applied Mathematics, Statistics, Econometrics).…
Skills: Spark, R, SQL, AWS, Machine learning",4,JPMorgan Chase & Co,"Jersey City, NJ",10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
625,Senior Data Scientist - Supply Chain and Strategic Sourcing,$63K - $151K (Employer est.),"BACHELOR’S Degree in Data Science, Mathematics, Statistics, Econometrics, Economics, Operations Research, Computer Science, Supply Chain Management, or related……
Skills: MATLAB, Power BI, Business intelligence, D3.js, SAS",3.2,Frontier Communications,"Dallas, TX",10000+ Employees,1935,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (USD)
626,"Lead Product Manager, Artificial Intelligence",$126K - $166K (Glassdoor est.),"Partner with customer research, UX, data science, product and engineering teams to ensure we create the best AI products and experiences that maximize customer……
Skills: Analysis skills, Machine learning, Product management, Data science, Cybersecurity",3.8,Rapid7,"Arlington, VA",1001 to 5000 Employees,2000,Company - Public,Computer Hardware Development,Information Technology,$100 to $500 million (USD)
627,Sr. Principal Data Scientist,$140K - $210K (Employer est.),"Bachelor's degree in a technical area with 9 years of relevant experience (7 years with technical MS; 4 years with a PhD in related field).…
Skills: Statistics, MATLAB, SAS, Tableau, SQL",4,Northrop Grumman,"Linthicum, MD",10000+ Employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
628,Sr. Staff Machine Learning Scientist,$107K - $260K (Employer est.),"Communicate complex concepts and the results of models and analyses to both technical and non-technical audiences, influencing partners and customers with your……
Skills: TensorFlow, Customer service, Big data, English, SQL",3.8,PayPal,"San Jose, CA",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
629,Data Scientist - Marketing Mix Models,$137K - $255K (Employer est.),"Developing resolutions to complex problems, using your sharp judgment to develop methods, techniques, and evaluation criteria allows you to deliver solutions……
Skills: Statistics, Spark, R, Apache Hive, Marketing mix modeling",3.8,Verizon,"New York, NY",10000+ Employees,2000,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)
630,Manager & Sr. Data Scientist,$110K - $149K (Glassdoor est.),"Master's degree in Statistics, Mathematics, Decision Sciences, Actuarial Science or related analytical STEM field plus three years of experience, or PhD in……
Skills: Statistical software, Statistics, Research, Statistical analysis, Natural language processing",4.1,"The Travelers Companies, Inc.","Hartford, CT",10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
631,"Director, Business Data Science & Analytics",$194K - $250K (Employer est.),"MS or higher in Computer Science, Mathematics, Statistics or a related field; or equivalent professional experience. 2+ years in a Director+ role.…
Skills: Computer science, Microsoft Excel, Management, Salesforce, R",3.8,AppFolio,"San Diego, CA",1001 to 5000 Employees,2006,Company - Public,Software Development,Information Technology,$500 million to $1 billion (USD)
632,"AIML - Chief of Staff, Data and Machine Learning Innovation",$134K - $223K (Employer est.),"Master's degree or MBA in a technical, quantitative, or business field. Additionally, this role might be eligible for discretionary bonuses or commission……
Skills: Program management, Computer vision, Research, Analysis skills, Project management",4.1,Apple,"Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
633,"Senior Generative AI Data Scientist, Amazon SageMaker",$143K - $248K (Employer est.),"You will also create field enablement materials for the broader technical field population, to help them understand how to integrate AWS Generative AI solutions……
Skills: SAS, Computer vision, Software deployment, AWS, Analysis skills",3.7,"Amazon Web Services, Inc.","Seattle, WA",Unknown,2006,Subsidiary or Business Segment,Internet & Web Services,Information Technology,$10+ billion (USD)
634,Director of Data Science,$129K - $189K (Glassdoor est.),"Demonstrate proficiency in a broad array of data science tools and frameworks, such as Python, R, SQL, language models, and synthetic data generation.…
Skills: Jira, Data mining, R, Git, SQL",3.5,Hearst Media Services,"Lawrenceville, GA",10000+ Employees,1887,Company - Private,Publishing,Media & Communication,$10+ billion (USD)
635,Data Scientist,$128K - $173K (Employer est.),"Master’s degree in data science and 5 years of experience with data analytics and predictive analytics or a Master’s degree in computer science (or a related……
Skills: Azure, Cloud architecture, Military, Project management, Computer networking",4,General Dynamics Information Technology,"Macdill AFB, FL",10000+ Employees,1996,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,$10+ billion (USD)
636,"Director, Clinical Data Analytics",$205K - $230K (Employer est.),"Core responsibilities include driving and supporting organizational metrics and analytics, clinical trial trend identification, and signal detection.…
Skills: Power BI, Clinical research, CSS, R, Tableau",3.7,Karyopharm Therapeutics Inc.,Remote,201 to 500 Employees,--,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
637,Principal Data Scientist,$134K - $223K (Employer est.),"Masters or PhD in a field that is emphasized in building and maintaining machine learning models that help drive insights, along with thought leadership in the……
Skills: Power BI, Data mining, Management, Sales, Data structures",3.3,Sprinklr,Texas,1001 to 5000 Employees,2009,Company - Public,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD)
638,Physical Scientist - Mission Control Center Data/Science Manager,$78K - $122K (Glassdoor est.),"Bachelor's Degree in Science, Engineering, or related field (Master's Degree preferred). Author/co-author NDBC reports, technical documents, papers, scientific……",4.1,Lynker Corporation,"Stennis Space Center, MS",201 to 500 Employees,2007,Company - Private,Enterprise Software & Network Solutions,Information Technology,$5 to $25 million (USD)
639,"Distinguished Engineer, EDW Data Engineering and Strategy supporting AI/ML (Remote)",$200K - $300K (Employer est.),"The knowledge, skills and abilities typically acquired through the completion of a bachelor's degree program or equivalent degree in a field of study related to……
Skills: Organizational skills, AI, Leadership",3.8,Home Depot / THD,"Atlanta, GA",10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD)
640,Lead Data Scientist - Arch & Tech / Software Engineering Guild,$120K - $167K (Glassdoor est.),"Establish heat maps using data sources such as IT Service Management metrics, source code repositories, application lifecycle management tools, code quality……
Skills: CI/CD, Data mining, Management, R, Alteryx",4.2,Mastercard,"O Fallon, MO",10000+ Employees,1966,Company - Public,Financial Transaction Processing,Financial Services,Unknown / Non-Applicable
641,"Senior Scientist, Artificial Intelligence/Machine Learning, Foundational ML (gCS, BRAID)",$190K - $265K (Glassdoor est.),"You have a PhD or equivalent experience in computational biology (e.g. Bioinformatics, Computer Science, or related technical field).…
Skills: Analysis skills, Machine learning, Deep learning, Computer networking, AI",4.1,Genentech,"San Francisco, CA",10000+ Employees,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
642,"Research Scientist – Data Modeling, Systems Biology",$66K - $106K (Glassdoor est.),"In addition to technical expertise, a successful candidate will be a self-starter, independent, work well in a team environment, and welcome the challenge of……
Skills: Management, Big data, R, Physiology knowledge, Git",4.5,Eqlipse Technologies LLC,"Wright Patterson AFB, OH",501 to 1000 Employees,2023,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD)
643,"Senior Generative AI Data Scientist, Amazon SageMaker",$143K - $248K (Employer est.),"You will also create field enablement materials for the broader technical field population, to help them understand how to integrate AWS Generative AI solutions……
Skills: MATLAB, SAS, Computer vision, Software deployment, R",3.7,"Amazon Web Services, Inc.","Seattle, WA",Unknown,2006,Subsidiary or Business Segment,Internet & Web Services,Information Technology,$10+ billion (USD)
644,"Distinguished, Data Scientist",$169K - $338K (Employer est.),"Option 1: Bachelor's degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field and 6 years' experience……
Skills: Web accessibility, TensorFlow, Succession planning, Power BI, Microsoft Excel",3.4,Walmart,"San Bruno, CA",10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail & Wholesale,$10+ billion (USD)
645,"Data Scientist, Data Strategy and Analytics",$144K - $288K (Employer est.),"Bachelor's degree in Mathematics, Statistics, related technical field, or equivalent practical experience. Collaborate with other teams to develop novel ways of……
Skills: Power BI, R, SAP BW 4HANA, SQL, AWS",3.8,Abbott Laboratories,"Alameda, CA",10000+ Employees,1888,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
646,Sr. Data Scientist,$107K - $142K (Glassdoor est.),"Uses analytical rigor and statistical methods to analyze large amounts of data, extracting actionable insights using advanced statistical techniques such as……
Skills: Data mining, Statistical analysis, Machine learning, Distributed systems, Data science",3.8,Comcast Corporation,"Willow Grove, PA",10000+ Employees,1963,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)
647,"Applied Scientist, Buyer Abuse Prevention ML",$115K - $213K (Employer est.),"The candidate should be able to apply a breadth of tools, data sources, and ML techniques to answer a wide range of high-impact business questions and……
Skills: Computer science, Java, C++, Machine learning, Algorithm design",3.7,Amazon.com Services LLC,"San Diego, CA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
648,Data Innovation Expert,-1,"Provide data solutions supporting the drug development life cycles, including CDISC standards implementation, statistical programming, statistical analysis,……
Skills: Big data, Machine learning, Clinical trials, Data science, AI",4,PHASTAR,Remote,201 to 500 Employees,2007,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
649,"Senior Product Manager, Artificial Intelligence/Machine Learning (AI/ML)",$120K - $204K (Employer est.),"6+ years of related experience in a product role in software or another related field. You will build strong working relationships across multiple engineering,……
Skills: Analysis skills, Product development, Machine learning, Agile, AI",4.3,Workiva,Remote,1001 to 5000 Employees,2008,Company - Public,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD)
650,Lead Data Scientist – Operations Research,$155K - $258K (Employer est.),"Education: bachelor’s degree in a technical field such as: Operations Research, Computer Science, Statistics, Applied Mathematics, Engineering or related……
Skills: MATLAB, Microsoft Excel, JD Edwards, Oracle, Data mining",3.8,McKesson,"Irving, TX",10000+ Employees,1833,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
651,Quality Data Scientist,$56K - $100K (Glassdoor est.),"Master’s degree in computer science, Statistics, Mathematics, Engineering, or a related quantitative field. Develop, implement, and fine-tune anomaly detection……
Skills: TensorFlow, Data modeling, Relational databases, Data analysis skills, Git",3.2,BlueOval SK,"Stanton, TN",5001 to 10000 Employees,2022,Subsidiary or Business Segment,Electronics Manufacturing,Manufacturing,Unknown / Non-Applicable
652,"Director, Data Science - Monetization AI Infrastructure",$253K - $314K (Employer est.),"You will focus on developing hypotheses and employ a diverse toolkit of rigorous analytical approaches, different methodologies, frameworks, and technical……
Skills: Machine learning, AI, Communication skills, Analytics",4,Meta,"Bellevue, WA",10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
653,"Senior Manager, Data Scientist - Consumer Identity Machine Learning",-1,"You have hands-on experience developing data science solutions using open-source tools and cloud computing platforms.…
Skills: Relational databases, Spark, R, Data analysis skills, Databases",3.9,Capital One,"McLean, VA",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
654,"Machine Learning Engineer, On-Device ML",$289K - $403K (Employer est.),"Leverage academic research to ensure that our technology continues to reflect and advance the state of the art. 401(k) and RRSP matching.…
Skills: Rust, CAD, Machine learning, Natural language processing, Mac OS",3.9,Grammarly,"San Francisco, CA",501 to 1000 Employees,2009,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
655,Data Scientist Senior,-1,"Produce innovative solutions driven by exploratory data analysis from complex and high-dimensional datasets. Applies knowledge of statistics, machine learning,……
Skills: Statistics, R, SQL, Machine learning, Patient care",3.5,Geisinger,"Danville, PA",10000+ Employees,1915,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$500 million to $1 billion (USD)
656,Senior ML Engineer,-1,"Familiarity with modern ML tooling and operations is a big plus, e.g. ML platforms (SageMaker, Databricks), MLOps tools (MLFlow, Kubeflow, W&B), and feature……
Skills: TensorFlow, Kubernetes, Spark, Google Cloud Platform, SQL",-1,Raya App,Remote,-1,-1,-1,-1,-1,-1
657,Senior Data Scientist,$112K - $164K (Glassdoor est.),"Experience: Minimum of 5 years in data science, with at least 2 years in a managerial capacity overseeing technical teams.…
Skills: Data mining, R, Statistical analysis, Project management, Predictive analytics",-1,American Dream Auto Protect,"Edison, NJ",Unknown,--,Company - Public,--,--,Unknown / Non-Applicable
658,Senior Data Scientist,-1,"Master degree or PhD in data science, computer science, information systems, mathematics or related field. Able to effectively communicate technical information……
Skills: SAS, Military, R, Tableau, SQL",3.4,Schneider,"Green Bay, WI",10000+ Employees,1935,Company - Public,Shipping & Trucking,Transportation & Logistics,$1 to $5 billion (USD)
659,"Marketing Strategy Operations, Senior Data Analyst",$100K - $138K (Employer est.),"2-3 years of marketing experience (preferred: product marketing, field marketing, campaigns, events, customer relations/success, and sales operations).…
Skills: Microsoft Powerpoint, Sales, Salesforce, Tableau, SQL",4.1,Salesforce,"Seattle, WA",10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
